,IMDb,platform,fre
249,6.4,Netflix,1
250,7.5,Netflix,1
251,7.4,Netflix,1
252,6.8,Netflix,1
253,8.2,Netflix,1
254,6.6,Netflix,1
255,6.4,Netflix,1
256,6.9,Netflix,1
257,6.9,Netflix,1
258,8,Netflix,1
259,6.1,Netflix,1
260,7.1,Netflix,1
261,6.8,Netflix,1
262,8.4,Netflix,1
263,7.4,Netflix,1
264,6.9,Netflix,1
265,7,Netflix,1
266,7.1,Netflix,1
267,7.9,Netflix,1
268,7.2,Netflix,1
269,7,Netflix,1
270,6.8,Netflix,1
271,7.6,Netflix,1
272,6.8,Netflix,1
273,6.9,Netflix,1
274,8,Netflix,1
275,6.5,Netflix,1
276,8.5,Netflix,1
277,7.9,Netflix,1
278,6.9,Netflix,1
279,7,Netflix,1
280,7.9,Netflix,1
281,7.1,Netflix,1
282,6.6,Netflix,1
283,6.3,Netflix,1
284,7.8,Netflix,1
285,7.6,Netflix,1
286,7.6,Netflix,1
287,6.5,Netflix,1
288,6.8,Netflix,1
289,6.7,Netflix,1
290,7.1,Netflix,1
291,7.7,Netflix,1
292,7.3,Netflix,1
293,6.9,Netflix,1
294,7.3,Netflix,1
295,6.9,Netflix,1
296,6.9,Netflix,1
297,7.6,Netflix,1
298,6.4,Netflix,1
299,6.3,Netflix,1
300,7.7,Netflix,1
301,7.7,Netflix,1
302,7.6,Netflix,1
303,7.6,Netflix,1
304,7.6,Netflix,1
305,7.6,Netflix,1
306,7.3,Netflix,1
307,6.3,Netflix,1
308,6.4,Netflix,1
309,7.1,Netflix,1
310,6.3,Netflix,1
311,7.8,Netflix,1
312,6.6,Netflix,1
313,8.5,Netflix,1
314,6.4,Netflix,1
315,6.8,Netflix,1
316,7.8,Netflix,1
317,7,Netflix,1
318,7.7,Netflix,1
319,7.8,Netflix,1
320,7,Netflix,1
321,7.5,Netflix,1
322,6.5,Netflix,1
323,7.1,Netflix,1
324,6.4,Netflix,1
325,6.9,Netflix,1
326,6.8,Netflix,1
327,7.6,Netflix,1
328,7.5,Netflix,1
329,6.4,Netflix,1
330,7.4,Netflix,1
331,7.2,Netflix,1
332,6.6,Netflix,1
333,7.3,Netflix,1
334,7.2,Netflix,1
335,7.5,Netflix,1
336,7.6,Netflix,1
337,7.6,Netflix,1
338,6.2,Netflix,1
339,8.2,Netflix,1
340,6.3,Netflix,1
341,6.5,Netflix,1
342,8.2,Netflix,1
343,6.6,Netflix,1
344,6.9,Netflix,1
345,6.3,Netflix,1
346,6.3,Netflix,1
347,7.4,Netflix,1
348,6.6,Netflix,1
349,6.8,Netflix,1
350,6.7,Netflix,1
351,7.2,Netflix,1
352,7.3,Netflix,1
353,7,Netflix,1
354,6.7,Netflix,1
355,6.9,Netflix,1
356,7.8,Netflix,1
357,7.3,Netflix,1
358,6.9,Netflix,1
359,6.8,Netflix,1
360,7.4,Netflix,1
361,7.2,Netflix,1
362,7.4,Netflix,1
363,7.4,Netflix,1
364,6.5,Netflix,1
365,6.2,Netflix,1
366,7.2,Netflix,1
367,7.5,Netflix,1
368,6.8,Netflix,1
369,7.2,Netflix,1
370,6.9,Netflix,1
371,7.5,Netflix,1
372,7.5,Netflix,1
373,6.9,Netflix,1
374,8.1,Netflix,1
375,7.6,Netflix,1
376,7.1,Netflix,1
377,7.2,Netflix,1
378,7.8,Netflix,1
379,6.3,Netflix,1
380,6.6,Netflix,1
381,6.7,Netflix,1
382,6.8,Netflix,1
383,6.9,Netflix,1
384,6.3,Netflix,1
385,6.3,Netflix,1
386,6.6,Netflix,1
387,7.6,Netflix,1
388,6.4,Netflix,1
389,6.9,Netflix,1
390,7.4,Netflix,1
391,7.2,Netflix,1
392,7.2,Netflix,1
393,7.7,Netflix,1
394,6.2,Netflix,1
395,7.3,Netflix,1
396,7.1,Netflix,1
397,7,Netflix,1
398,6.8,Netflix,1
399,7.3,Netflix,1
400,7.4,Netflix,1
401,6.3,Netflix,1
402,6.4,Netflix,1
403,7.5,Netflix,1
404,7.4,Netflix,1
405,6.2,Netflix,1
406,7.2,Netflix,1
407,6.1,Netflix,1
408,7.3,Netflix,1
409,7,Netflix,1
410,5.6,Netflix,1
411,6.9,Netflix,1
412,7.2,Netflix,1
413,6.5,Netflix,1
414,6.3,Netflix,1
415,7.4,Netflix,1
416,6.9,Netflix,1
417,6.7,Netflix,1
418,6.9,Netflix,1
419,6.6,Netflix,1
420,7.5,Netflix,1
421,6.6,Netflix,1
422,6.4,Netflix,1
423,7,Netflix,1
424,7.4,Netflix,1
425,7.6,Netflix,1
426,6.6,Netflix,1
427,5.9,Netflix,1
428,7.4,Netflix,1
429,7.4,Netflix,1
430,6.7,Netflix,1
431,6.7,Netflix,1
432,7.6,Netflix,1
433,7.5,Netflix,1
434,7.7,Netflix,1
435,7.6,Netflix,1
436,6.1,Netflix,1
437,7,Netflix,1
438,7,Netflix,1
439,6.2,Netflix,1
440,6.4,Netflix,1
441,6.4,Netflix,1
442,6.9,Netflix,1
443,6.7,Netflix,1
444,6.4,Netflix,1
445,7.4,Netflix,1
446,7.6,Netflix,1
447,7.9,Netflix,1
448,6.2,Netflix,1
449,7.4,Netflix,1
450,6.2,Netflix,1
451,7,Netflix,1
452,6.2,Netflix,1
453,6.8,Netflix,1
454,6.2,Netflix,1
455,6.4,Netflix,1
456,6.3,Netflix,1
457,6.1,Netflix,1
458,6.6,Netflix,1
459,7.5,Netflix,1
460,7,Netflix,1
461,7.6,Netflix,1
462,7,Netflix,1
463,6.5,Netflix,1
464,5.8,Netflix,1
465,7,Netflix,1
466,6.4,Netflix,1
467,6.5,Netflix,1
468,6.6,Netflix,1
469,6.4,Netflix,1
470,6.5,Netflix,1
471,6.9,Netflix,1
472,7,Netflix,1
473,6.2,Netflix,1
474,6.5,Netflix,1
475,8,Netflix,1
476,6.3,Netflix,1
477,7,Netflix,1
478,7.7,Netflix,1
479,6.5,Netflix,1
480,6.2,Netflix,1
481,7.1,Netflix,1
482,7,Netflix,1
483,6.9,Netflix,1
484,6.5,Netflix,1
485,7.6,Netflix,1
486,6.6,Netflix,1
487,7.2,Netflix,1
488,7.4,Netflix,1
489,6.9,Netflix,1
490,6.7,Netflix,1
491,6.1,Netflix,1
492,7.2,Netflix,1
493,6.7,Netflix,1
494,6.4,Netflix,1
495,7.7,Netflix,1
496,6.5,Netflix,1
497,7.8,Netflix,1
498,6.7,Netflix,1
499,7.6,Netflix,1
500,6.5,Netflix,1
501,6.5,Netflix,1
502,6.9,Netflix,1
503,7,Netflix,1
504,7,Netflix,1
505,5.8,Netflix,1
506,8.1,Netflix,1
507,5.9,Netflix,1
508,7.2,Netflix,1
509,6.4,Netflix,1
510,6.3,Netflix,1
511,5.8,Netflix,1
512,6.5,Netflix,1
513,6.5,Netflix,1
514,7.7,Netflix,1
515,6.6,Netflix,1
516,6.2,Netflix,1
517,6.7,Netflix,1
518,6.8,Netflix,1
519,7.8,Netflix,1
520,6,Netflix,1
521,6.8,Netflix,1
522,6.8,Netflix,1
523,6.5,Netflix,1
524,7.4,Netflix,1
525,7.5,Netflix,1
526,7,Netflix,1
527,6.4,Netflix,1
528,7.1,Netflix,1
529,6.7,Netflix,1
530,6.9,Netflix,1
531,6.2,Netflix,1
532,6.6,Netflix,1
533,6.5,Netflix,1
534,6.3,Netflix,1
535,6,Netflix,1
536,5.9,Netflix,1
537,8,Netflix,1
538,7.4,Netflix,1
539,6.7,Netflix,1
540,7.5,Netflix,1
541,5.8,Netflix,1
542,6.5,Netflix,1
543,7.2,Netflix,1
544,6,Netflix,1
545,7.4,Netflix,1
546,7.2,Netflix,1
547,7.3,Netflix,1
548,7.3,Netflix,1
549,7,Netflix,1
550,6.5,Netflix,1
551,6.4,Netflix,1
552,6.4,Netflix,1
553,7.1,Netflix,1
554,6.4,Netflix,1
555,6.5,Netflix,1
556,6,Netflix,1
557,6.3,Netflix,1
558,6.3,Netflix,1
559,6.6,Netflix,1
560,7.1,Netflix,1
561,7.3,Netflix,1
562,6.4,Netflix,1
563,6.3,Netflix,1
564,6.2,Netflix,1
565,8.2,Netflix,1
566,6.1,Netflix,1
567,6.4,Netflix,1
568,6.2,Netflix,1
569,6.9,Netflix,1
570,7.3,Netflix,1
571,6.4,Netflix,1
572,6.9,Netflix,1
573,7,Netflix,1
574,6.4,Netflix,1
575,7.3,Netflix,1
576,6.4,Netflix,1
577,6.6,Netflix,1
578,6.4,Netflix,1
579,7.1,Netflix,1
580,7.6,Netflix,1
581,6,Netflix,1
582,7.2,Netflix,1
583,6.7,Netflix,1
584,6.6,Netflix,1
585,6.4,Netflix,1
586,6.7,Netflix,1
587,6.8,Netflix,1
588,6.7,Netflix,1
589,5.8,Netflix,1
590,7.6,Netflix,1
591,6.4,Netflix,1
592,6.6,Netflix,1
593,8.3,Netflix,1
594,8.2,Netflix,1
595,7.4,Netflix,1
596,7.4,Netflix,1
597,6.8,Netflix,1
598,6.2,Netflix,1
599,6.7,Netflix,1
600,7.2,Netflix,1
601,6.7,Netflix,1
602,6.3,Netflix,1
603,7.3,Netflix,1
604,7.2,Netflix,1
605,6.8,Netflix,1
606,8.1,Netflix,1
607,6.7,Netflix,1
608,6.4,Netflix,1
609,7.2,Netflix,1
610,7.1,Netflix,1
611,6.1,Netflix,1
612,5.8,Netflix,1
613,6.2,Netflix,1
614,6.4,Netflix,1
615,6.5,Netflix,1
616,6.1,Netflix,1
617,7.3,Netflix,1
618,5.7,Netflix,1
619,6.8,Netflix,1
620,6.4,Netflix,1
621,8.2,Netflix,1
622,6.8,Netflix,1
623,7.5,Netflix,1
624,6.7,Netflix,1
625,7.7,Netflix,1
626,7.4,Netflix,1
627,8,Netflix,1
628,5.8,Netflix,1
629,7.1,Netflix,1
630,5.4,Netflix,1
631,6.8,Netflix,1
632,6.6,Netflix,1
633,6.4,Netflix,1
634,5.8,Netflix,1
635,6.6,Netflix,1
636,6.8,Netflix,1
637,7.3,Netflix,1
638,6.8,Netflix,1
639,5.8,Netflix,1
640,6.3,Netflix,1
641,6.8,Netflix,1
642,7.4,Netflix,1
643,6.8,Netflix,1
644,6.1,Netflix,1
645,6.3,Netflix,1
646,6.6,Netflix,1
647,6.4,Netflix,1
648,6.2,Netflix,1
649,7.8,Netflix,1
650,5.7,Netflix,1
651,7.5,Netflix,1
652,6.4,Netflix,1
653,6.6,Netflix,1
654,7.6,Netflix,1
655,7.2,Netflix,1
656,8,Netflix,1
657,6.6,Netflix,1
658,7.1,Netflix,1
659,6.3,Netflix,1
660,6.5,Netflix,1
661,5.8,Netflix,1
662,7.2,Netflix,1
663,8.1,Netflix,1
664,8.2,Netflix,1
665,5.8,Netflix,1
666,6.1,Netflix,1
667,5.8,Netflix,1
668,6.8,Netflix,1
669,7,Netflix,1
670,7.1,Netflix,1
671,6,Netflix,1
672,5.9,Netflix,1
673,7,Netflix,1
674,7.4,Netflix,1
675,5.8,Netflix,1
676,7.3,Netflix,1
677,5.4,Netflix,1
678,7.5,Netflix,1
679,6.8,Netflix,1
680,6.5,Netflix,1
681,7,Netflix,1
682,6.8,Netflix,1
683,6.1,Netflix,1
684,6.6,Netflix,1
685,6.6,Netflix,1
686,6.8,Netflix,1
687,6.5,Netflix,1
688,6.1,Netflix,1
689,6.5,Netflix,1
690,6.5,Netflix,1
691,6.4,Netflix,1
692,5.9,Netflix,1
693,6.3,Netflix,1
694,7.4,Netflix,1
695,6,Netflix,1
696,6.5,Netflix,1
697,5.4,Netflix,1
698,6.1,Netflix,1
699,7.6,Netflix,1
700,8.3,Netflix,1
701,6.2,Netflix,1
702,5.6,Netflix,1
703,6.8,Netflix,1
704,7.6,Netflix,1
705,6.7,Netflix,1
706,6.3,Netflix,1
707,6.7,Netflix,1
708,6.8,Netflix,1
709,6.1,Netflix,1
710,6.9,Netflix,1
711,6.6,Netflix,1
712,5.6,Netflix,1
713,8.5,Netflix,1
714,7.1,Netflix,1
715,6.1,Netflix,1
716,6.5,Netflix,1
717,5.4,Netflix,1
718,7.5,Netflix,1
719,5.9,Netflix,1
720,6.3,Netflix,1
721,7.2,Netflix,1
722,7.4,Netflix,1
723,6.9,Netflix,1
724,6.7,Netflix,1
725,5.7,Netflix,1
726,6.8,Netflix,1
727,5.9,Netflix,1
728,6.5,Netflix,1
729,7.1,Netflix,1
730,6.8,Netflix,1
731,6.2,Netflix,1
732,7.1,Netflix,1
733,6.3,Netflix,1
734,5,Netflix,1
735,7,Netflix,1
736,6,Netflix,1
737,6.3,Netflix,1
738,7.7,Netflix,1
739,6.8,Netflix,1
740,6.2,Netflix,1
741,6.2,Netflix,1
742,7,Netflix,1
743,7.7,Netflix,1
744,6.2,Netflix,1
745,6.3,Netflix,1
746,5.8,Netflix,1
747,6.3,Netflix,1
748,7.1,Netflix,1
749,6,Netflix,1
750,6.2,Netflix,1
751,6.8,Netflix,1
752,5.9,Netflix,1
753,6.7,Netflix,1
754,5.9,Netflix,1
755,6.4,Netflix,1
756,6.4,Netflix,1
757,7,Netflix,1
758,6.1,Netflix,1
759,6.5,Netflix,1
760,5.6,Netflix,1
761,8.2,Netflix,1
762,6.2,Netflix,1
763,5.2,Netflix,1
764,7.2,Netflix,1
765,6.4,Netflix,1
766,8.3,Netflix,1
767,5.8,Netflix,1
768,6.6,Netflix,1
769,5.2,Netflix,1
770,6,Netflix,1
771,6,Netflix,1
772,7.5,Netflix,1
773,6.4,Netflix,1
774,5.3,Netflix,1
775,6.3,Netflix,1
776,7.1,Netflix,1
777,7.1,Netflix,1
778,6.4,Netflix,1
779,5.5,Netflix,1
780,5.7,Netflix,1
781,6.2,Netflix,1
782,6,Netflix,1
783,7.4,Netflix,1
784,5.7,Netflix,1
785,7.3,Netflix,1
786,6.9,Netflix,1
787,6.2,Netflix,1
788,5.9,Netflix,1
789,5.9,Netflix,1
790,8,Netflix,1
791,6,Netflix,1
792,5.5,Netflix,1
793,6.9,Netflix,1
794,5.6,Netflix,1
795,5.8,Netflix,1
796,7.2,Netflix,1
797,6.4,Netflix,1
798,7.1,Netflix,1
799,6.3,Netflix,1
800,7,Netflix,1
801,7.6,Netflix,1
802,6.4,Netflix,1
803,7.2,Netflix,1
804,7,Netflix,1
805,6.3,Netflix,1
806,5.7,Netflix,1
807,6,Netflix,1
808,7.1,Netflix,1
809,6.5,Netflix,1
810,6.1,Netflix,1
811,6.1,Netflix,1
812,7.8,Netflix,1
813,6.2,Netflix,1
814,6.3,Netflix,1
815,5.7,Netflix,1
816,7.4,Netflix,1
817,5.7,Netflix,1
818,5.1,Netflix,1
819,7.2,Netflix,1
820,7.5,Netflix,1
821,6.1,Netflix,1
822,5.6,Netflix,1
823,6.3,Netflix,1
824,7.2,Netflix,1
825,6,Netflix,1
826,6.4,Netflix,1
827,6.5,Netflix,1
828,5,Netflix,1
829,7.1,Netflix,1
830,7.9,Netflix,1
831,7.7,Netflix,1
832,5.8,Netflix,1
833,5.8,Netflix,1
834,6.9,Netflix,1
835,7.3,Netflix,1
836,5.7,Netflix,1
837,6.2,Netflix,1
838,8.4,Netflix,1
839,6.2,Netflix,1
840,6.3,Netflix,1
841,7.5,Netflix,1
842,6,Netflix,1
843,7,Netflix,1
844,6.3,Netflix,1
845,6.3,Netflix,1
846,8.6,Netflix,1
847,5.4,Netflix,1
848,5.7,Netflix,1
849,7.8,Netflix,1
850,8,Netflix,1
851,8.3,Netflix,1
852,6.2,Netflix,1
853,7.3,Netflix,1
854,6.5,Netflix,1
855,7,Netflix,1
856,6.1,Netflix,1
857,7,Netflix,1
858,6.2,Netflix,1
859,5.8,Netflix,1
860,7.9,Netflix,1
861,5.9,Netflix,1
862,8.3,Netflix,1
863,6.1,Netflix,1
864,6.1,Netflix,1
865,7.1,Netflix,1
866,6.6,Netflix,1
867,6.3,Netflix,1
868,7.4,Netflix,1
869,7.3,Netflix,1
870,6.4,Netflix,1
871,7.2,Netflix,1
872,6.1,Netflix,1
873,6,Netflix,1
874,6.5,Netflix,1
